Date,Open,High,Low,Close ,Adj Close ,Volume
3-Sep-24,46.9,47.6,46.45,47,46.823,"3,703,016"
2-Sep-24,46,46.9,45.35,46.9,46.724,"4,505,538"
30-Aug-24,45.5,46.8,45,45.85,45.678,"10,524,808"
29-Aug-24,46.2,46.65,43.85,45.35,45.179,"7,768,266"
28-Aug-24,46.4,46.7,45.4,46.2,46.026,"4,856,130"
27-Aug-24,46.9,47.05,44.8,45.9,45.727,"6,460,100"
26-Aug-24,47.3,48.1,46.35,47,46.823,"6,058,352"
23-Aug-24,47.65,48.25,46.6,47.75,47.57,"8,014,669"
22-Aug-24,46.5,48.1,45.8,47.95,47.77,"22,571,188"
21-Aug-24,41.05,46.5,40.1,46.25,46.076,"22,188,169"
20-Aug-24,42.1,42.95,41.5,41.85,41.693,"4,976,090"
19-Aug-24,39.55,42.35,39.55,41.5,41.344,"9,411,740"
16-Aug-24,38.65,39.45,38.35,39.1,38.953,"4,692,966"
15-Aug-24,39.4,39.4,37.85,38.25,38.106,"3,783,574"
14-Aug-24,40.05,40.5,39.15,39.45,39.302,"3,099,296"
13-Aug-24,39.9,40.2,38.95,39.7,39.551,"2,243,259"
12-Aug-24,39.7,40.45,39.4,39.8,39.65,"1,460,622"
9-Aug-24,40.45,41,39.45,39.7,39.551,"2,262,721"
8-Aug-24,39.2,40.95,38.8,40,39.85,"5,655,973"
7-Aug-24,38.5,39.8,38,39.8,39.65,"4,849,802"
6-Aug-24,37.7,38.2,37.1,37.9,37.757,"4,434,902"
5-Aug-24,38.05,38.85,36.5,37.25,37.11,"7,040,347"
2-Aug-24,39.4,40.55,38.4,39.1,38.953,"4,626,451"
1-Aug-24,41.5,41.5,39.9,40.3,40.148,"3,094,808"
31-Jul-24,39.05,41.75,39.05,41.45,41.294,"7,253,143"
30-Jul-24,39.4,39.4,38.6,38.8,38.654,"4,185,577"
29-Jul-24,38.5,39.6,38.5,39.1,38.953,"3,331,840"
26-Jul-24,38,39,37.4,38.5,38.355,"4,304,388"
25-Jul-24,40.3,40.35,36.9,37.4,37.259,"9,759,334"
24-Jul-24,39.8,40.6,39.8,40.35,40.198,"2,703,515"
23-Jul-24,40.3,41,39.9,40.1,39.949,"5,732,581"
22-Jul-24,41.3,41.4,39.7,40.2,40.049,"8,799,648"
19-Jul-24,42,42.3,40.45,41.6,41.444,"16,158,036"
18-Jul-24,37.35,38,36.6,37.65,37.508,"3,021,709"
17-Jul-24,37.9,38.05,36.25,37.4,37.259,"3,328,860"
16-Jul-24,38.2,38.5,36.5,37.7,37.558,"4,820,645"
15-Jul-24,39.15,39.55,37.75,38.25,38.106,"2,194,487"
12-Jul-24,37.3,39.2,37.3,39.1,38.953,"4,239,698"
11-Jul-24,37,38,37,37.25,37.11,"2,337,845"
10-Jul-24,36.25,37.8,36.25,36.75,36.612,"4,622,721"
9-Jul-24,35.95,36.3,35.45,36.25,36.114,"3,227,127"
8-Jul-24,35.25,36.05,34.7,35.55,35.416,"3,615,263"
5-Jul-24,35.8,36.85,34.4,35.25,35.117,"5,790,193"
4-Jul-24,35.95,36.35,35,35.75,35.616,"4,702,782"
3-Jul-24,36.55,36.9,35.5,35.8,35.665,"5,067,924"
2-Jul-24,38.25,38.5,36.15,36.55,36.413,"6,065,386"
28-Jun-24,36.3,38.45,36.2,38.25,38.106,"6,007,003"
27-Jun-24,37.8,37.8,36.25,36.65,36.512,"4,039,715"
26-Jun-24,36.95,37.4,36.45,37.15,37.01,"3,641,368"
25-Jun-24,38.2,38.95,36.75,37,36.861,"5,670,386"
24-Jun-24,38.2,38.3,35.95,38.2,38.056,"8,493,007"
21-Jun-24,39.8,40,37.65,38.15,38.007,"7,839,988"
20-Jun-24,39.85,40.5,39.5,40,39.85,"3,961,247"
19-Jun-24,39.8,40.5,39.1,40,39.85,"5,092,294"
18-Jun-24,39.2,40.5,39.2,39.8,39.65,"5,171,920"
17-Jun-24,39.25,40.85,38.65,39.2,39.053,"6,689,411"
14-Jun-24,39,39.6,38.25,39.55,39.401,"5,542,676"
13-Jun-24,38.35,39.75,38.35,39,38.853,"4,126,553"
12-Jun-24,38.05,38.6,37.45,38.35,38.206,"3,953,662"
11-Jun-24,38.2,38.5,37.15,38.05,37.907,"4,742,190"
7-Jun-24,38.8,39.3,37.8,38.2,38.056,"2,343,208"
6-Jun-24,38.15,39.15,38.15,38.8,38.654,"3,873,832"
5-Jun-24,38.65,39.15,37.85,38.15,38.007,"3,676,444"
4-Jun-24,38.9,40.35,38.45,38.7,38.554,"9,139,778"
3-Jun-24,37.45,39.35,37.1,38.9,38.754,"8,734,386"
31-May-24,37.3,38.45,37,37.1,36.96,"10,915,807"
30-May-24,36.3,37.8,36.15,37.1,36.96,"5,550,497"
29-May-24,35.6,37,35.6,36,35.865,"3,885,280"
28-May-24,36.55,36.6,35.65,35.9,35.765,"3,668,900"
27-May-24,34.4,36.95,34.4,36.55,36.413,"7,930,434"
24-May-24,34.6,34.65,33.5,34.5,34.37,"4,973,379"
23-May-24,0.3095 Dividend,,,,,
23-May-24,35.05,35.7,34.2,34.6,34.47,"3,473,327"
22-May-24,35.55,35.95,34.35,35,34.56,"8,978,891"
21-May-24,37,37,35.3,35.55,35.103,"6,891,416"
20-May-24,35.8,37.1,35.5,36.8,36.337,"5,094,328"
17-May-24,37.55,37.7,35.5,36.4,35.942,"8,904,400"
16-May-24,37.5,38.45,36.65,37.5,37.029,"7,671,381"
14-May-24,36.95,38.1,36.65,36.95,36.486,"6,853,495"
13-May-24,35.2,37,34.55,36.35,35.893,"9,354,569"
10-May-24,36.5,36.5,34.9,35.2,34.758,"6,614,600"
9-May-24,36,36.35,35,36,35.547,"9,693,823"
8-May-24,37.5,37.6,35.6,35.7,35.251,"8,520,751"
7-May-24,35.5,37.5,35.5,36.85,36.387,"13,908,662"
6-May-24,34.9,35.8,34.65,35.5,35.054,"8,465,134"
3-May-24,35.05,35.1,34.25,34.75,34.313,"3,102,921"
2-May-24,33.35,35,33.25,34.7,34.264,"7,237,777"
30-Apr-24,33.8,34.1,33.15,33.9,33.474,"13,053,466"
29-Apr-24,33.95,34.6,33.3,33.8,33.375,"13,001,834"
26-Apr-24,34.15,34.4,33.5,33.8,33.375,"9,640,526"
25-Apr-24,33.65,34.35,33.45,33.95,33.523,"7,422,506"
24-Apr-24,34.85,34.95,33.2,33.65,33.227,"23,415,436"
23-Apr-24,34.15,35.5,32.55,34.55,34.116,"25,100,073"
